"File","Path","Size","Modified Time","Access Time","Created Time","SHA512","Owner","Group","Model"
"subgid","/etc/subgid","64","Sun Sep  8 23:50:16 2019","Wed Nov  6 10:25:28 2019","Sun Sep  8 23:50:16 2019","BC6820DF41733FF557A051D263D7337D67226BA3495B633154BCEE88D6A2267D10274FAC8939CC1DDF627BF58D359141C84D548BA5F2109C993B8227D2F0F600","0","0","33188"
"nsswitch.conf","/etc/nsswitch.conf","556","Mon Apr  1 13:51:50 2019","Wed Nov  6 12:47:02 2019","Mon Apr  1 13:51:50 2019","DE0C6896DD7FD63A81050FEC17A28793CE276631C04BC434E1C67DEDE90E2351C57F99361E3B4F884E14A5DED86637F20A0578284C149C0DD23E06CA4F722F2A","0","0","33188"
"passwd","/etc/passwd","2704","Wed Sep 11 20:25:41 2019","Wed Nov  6 12:47:17 2019","Wed Sep 11 20:25:41 2019","248729A97716A8914AAA97566DAE72CF4BF3DF63B7F9BF400A0B2D292316AD906A8F3D56780C5A002481AA7003327AC4B2D24AFD511008F26F0921011DF842A3","0","0","33188"
"mke2fs.conf","/etc/mke2fs.conf","812","Fri Jan 25 02:11:28 2019","Wed Nov  6 10:29:22 2019","Mon Apr  1 13:35:14 2019","B0F33416488451EE7488513B4BADDDB5D0D50EEB953D1F9E38CCE23D04786DBA1BB3BE4547AB6227C1AD3F6800D7CCA24DDE82C504D6F256F646088B970FF0C6","0","0","33188"
"brltty.conf","/etc/brltty.conf","25341","Wed Aug 29 10:57:52 2018","Wed Nov  6 10:29:22 2019","Mon Apr  1 14:03:55 2019","ABA87AD83EA60B41E4BF9F10544B10764130E9DF6F7E87A0DB78F3F4BA1F7F80B8C4A0B9D6CC4454A8CF7AAF546257AFA8E19B92AE33C88C8F92AD4E55B566A6","0","0","33188"
"fstab","/etc/fstab","848","Fri Mar 29 16:32:46 2019","Wed Nov  6 12:47:27 2019","Fri Mar 29 16:32:46 2019","8E00F71377F0700C20FB29D633F495A4A04CE54D042ACBA3E878DD4392D21C6AF07DC264D365338CE7CB5AFA76F2E14BB573C3F870B7EDC33D13054D465085CB","0","0","33204"
"networks","/etc/networks","91","Thu Oct 22 20:15:21 2015","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","ED1BACE4AF3F51B18030AA97ECCC217FA460C61AF31A5360CA1360E8102AF9B1E379FB647BA02DD83752DB466F185461CEDBFDD3081A34F32C327BEC4464C479","0","0","33188"
"updatedb.conf","/etc/updatedb.conf","403","Fri Apr 28 08:09:57 2017","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","CDA56CF30A4E4826111EF337FC11AD2606CED695C3996ADCF7780EB29CB6567F282EEC452EA0BE53D49D36B0E0D89F0AAE3C75FF1ABC4049E779C5DADCB9F7C2","0","0","33188"
"debconf.conf","/etc/debconf.conf","2969","Wed Jul 12 04:23:47 2017","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","E0BF288A8325F720D55F9DFEB6F6DF197E464FD921F8AB99B0466F2975B2B9505E52F8F6860686E1B5EAF36019DC6F75CFA7EE07A77A2E5A23FD2D2795745D6E","0","0","33188"
"wgetrc","/etc/wgetrc","4942","Mon Oct 23 22:17:58 2017","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","8C324C026360250403BB9F31BA781FB14789C0279A9A1DD06AB47C21C39C3E3AB7EC52B51BA475E62D3B52F532EAADA667D813976DABCCF38909FE10E08EBECE","0","0","33188"
"inputrc","/etc/inputrc","1748","Sat Sep 17 16:38:00 2016","Wed Nov  6 09:56:19 2019","Fri Mar 29 16:32:49 2019","5DBE872E94166AAED7CA2EDEC5A34EF9B13B254381E252CC6D851877B461579903CBB5B5DC588EABECECCF1EBE636F6CB4DA406CD01B64757F8C7E7F62E9A276","0","0","33188"
"mailcap","/etc/mailcap","51559","Sun Oct 27 11:06:07 2019","Wed Nov  6 10:29:22 2019","Sun Oct 27 11:06:07 2019","2DF8FCEDA7EE2C312C81FB26536AE54706E890EFC90CDBDFF996DCB344A1000CF524F4E423059FC8050D65C0CD72A1818FBA19F43E7EC53D927C7DDD4E34A372","0","0","33188"
"anacrontab","/etc/anacrontab","401","Mon May 29 19:36:12 2017","Wed Nov  6 12:47:29 2019","Fri Mar 29 16:32:49 2019","88C5706C4989D0EB2C57C08D8D756B78A2971AF874F749E0CEBC1640626121D7FBC101D01600660CE805F6914787B71C72810AD744BE10BB348F64511A8F5FE9","0","0","33188"
"group","/etc/group","1083","Wed Sep 11 20:25:41 2019","Wed Nov  6 12:47:06 2019","Wed Sep 11 20:25:41 2019","001FA328D9D6573C7CA409AFCABD325FCE5D0C0E8E1BBE15943D445EC73E0184CC080F1C357F2178256BFBD654C60AE108FE34400270D95E407E803D013ECC9D","0","0","33188"
"hosts.allow","/etc/hosts.allow","411","Fri Jan  5 23:40:04 2018","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","6290FBB97023EE06A8141A9884A1B9A46092C5726FBB2C84155D394FE9B6FB28C0004AB9409ABE3F8BD46A2C5ED45EEE2412C86E6926FB2584B979C8F4C9A9ED","0","0","33188"
"bash_completion","/etc/bash_completion","45","Wed Aug 12 23:13:29 2015","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","D663639090E2896E6833229D707B720EA5CAB072D1CA2C3C85E7F5135A7051BBF5964342C55E504FDCD723584B77B1357C87F5C0EABDF9202D15E15640CA657E","0","0","33188"
"gai.conf","/etc/gai.conf","2584","Wed Aug  2 15:57:16 2017","Wed Nov  6 12:47:38 2019","Fri Mar 29 16:32:49 2019","7AF653959285AA678D9EA7EF04A8AEB76539DB79BD59754B21233F70119D3F2CB8440689485F31526096AEE4BB991F9E1BD4DBB412071D3FE862914B84A647AA","0","0","33188"
"issue.net","/etc/issue.net","19","Tue Feb  5 10:32:12 2019","Wed Nov  6 10:29:22 2019","Mon Apr  1 13:37:37 2019","46B16F7D9EC48A0E8041BB9BC2E35B78C4D1D454F9C3AF42A38E6F21644726BEAA7DF097519592373CFB6DB6CD7C02F109590747CEBBBF3CBD4868F4969576AC","0","0","33188"
"zsh_command_not_found","/etc/zsh_command_not_found","477","Wed Dec 20 21:20:39 2017","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","5A3D447877A85FA93810BC14B4D845D401918078794FE8556FE5B72E869E3356410A4FD788CB37FA19B0AE0296FAD0044F8C228D1492E393BE7A64F15AED9759","0","0","33188"
"hosts","/etc/hosts","224","Sun Sep  8 22:44:40 2019","Wed Nov  6 12:47:29 2019","Sun Sep  8 22:44:41 2019","7CD4DBC69A722ADB94B98B0B321AA2F55413234383C60B881E4B001036F017374575712EEDED14728A0D0C611A108E4BA9E0D0FCBD41A7880E70E5F87E72BA96","0","0","33188"
"profile","/etc/profile","581","Fri Apr 22 09:29:32 2016","Wed Nov  6 09:50:04 2019","Fri Mar 29 16:32:49 2019","0640B2053C1D50BCD1F17A572DD7A637D57AFE624A6A1A270C43004733358172A39B67F3AFD97813F4739238FB9392976D963540AA317F0C5AA0C20C43C9C1E2","0","0","33188"
"host.conf","/etc/host.conf","92","Thu Oct 22 20:15:21 2015","Wed Nov  6 12:47:29 2019","Fri Mar 29 16:32:49 2019","B9357BE53AF23780ACEB249AAF56B8A851C278A3CB21011C3ECAC0C31E1798DEA78DF7928C72F453B5496B28BCD94BCA1B2FE59C69DD624E9CD5B331873D8393","0","0","33188"
"odbcinst.ini","/etc/odbcinst.ini","324","Wed Sep 11 21:43:30 2019","Wed Nov  6 10:29:22 2019","Wed Sep 11 21:43:30 2019","2A815CEB6F3D09D2F6CB2C115B18A7E73E58B6970EFC26867015DD9C2BEEBB5B5E1C092F673ECA78E83E70C18E4DD7357E8708CD0F49174700844BB4F2E4BE00","0","0","33188"
"ucf.conf","/etc/ucf.conf","1260","Wed Mar 16 23:58:51 2016","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","DFBFBF7DCF9ACCFFDA62A75473E2D534A76CC55995A1AFEAF7D37C966AEF097FFCF50FCCDC1D217EBA2C14222C0D8B698D24B33BEEB25976C2EC3B719B5F1DD2","0","0","33188"
"libao.conf","/etc/libao.conf","27","Thu Jan  8 05:19:20 2015","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","32F6D2C8A6F0D0464D1083D30B6DC1011BDD8BFAD660B5B1AFF821494AC5F0ED45955E9EF6E88C54B778FF1E5CFF229AAF40AA8CFA224AC1E52C7AA109EE0752","0","0","33188"
"magic.mime","/etc/magic.mime","111","Mon Sep  4 19:20:35 2017","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","C08F6B1544EAEF2B169D682F9693C6A0B8091F81975171CEDC48637D98B9F58BABC1BC409E8456264CCDA4FA717EA0208A35062B55B9BC7C96E92862A7890873","0","0","33188"
"mailcap.order","/etc/mailcap.order","449","Fri Jul 15 15:06:12 2016","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","82FA1CE4AD3F6D3E45C40214D5709C1344428127296AE2EDA86D2CCC27A85E2FB01DBADAB5EA34E4C803C15F71AE02BE63D69C9C7611AC3D776C4F1AD1D6FF33","0","0","33188"
"subgid-","/etc/subgid-","44","Sun Sep  8 23:15:32 2019","Wed Nov  6 10:29:22 2019","Sun Sep  8 23:50:16 2019","159E4DCDBCD4C27D881E7592BC1526E1B540C01B356B2DC230FEE2A38B0B6CAF6B98B49ADB5850AF2C1B908F2E11996189707B9F2ACB244EBBDFDE0E63413B7C","0","0","33188"
"sensors3.conf","/etc/sensors3.conf","10368","Wed Apr  5 23:07:33 2017","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","4A78D6D2D6DB205763B16214785065BADE3CE08E6BC653A4878B7444710EFB6C2DDAB79E07E5D75CBA3BF40653900DB41037F26178BB88FD18645539029B9F0D","0","0","33188"
"rsyslog.conf","/etc/rsyslog.conf","1358","Tue Jan 30 18:52:13 2018","Wed Nov  6 12:47:29 2019","Mon Apr  1 13:59:22 2019","F96E91D355E05535FFBAE6367B8822962365F9101B96DA62272B9D4CAE997A9E6A11AC3DCE321D0D3B9E38CBF9955846570F88B6C07A25F231CC3520B3569D9A","0","0","33188"
"hosts.deny","/etc/hosts.deny","711","Fri Jan  5 23:40:04 2018","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","A846B35FC4112C8A9F3EEC91B159209A8E61114611E2903004E0B17074C4E0B97BF9F4E3B8C2B508DCBB30978069B58DB74B38736FA33AED4976AD3877EEDB76","0","0","33188"
"apg.conf","/etc/apg.conf","433","Fri Aug  5 13:04:46 2016","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","3654ABC64A8AB2301D5D203EB5537F3BE3A2778B7A0934200BE882F9B91844D9FC3125831324B6C5A458CE3AB6AACABF83A30A86D21ED7B7939E686772AE4B44","0","0","33188"
"subuid","/etc/subuid","64","Sun Sep  8 23:50:15 2019","Wed Nov  6 10:29:22 2019","Sun Sep  8 23:50:15 2019","BC6820DF41733FF557A051D263D7337D67226BA3495B633154BCEE88D6A2267D10274FAC8939CC1DDF627BF58D359141C84D548BA5F2109C993B8227D2F0F600","0","0","33188"
"machine-id","/etc/machine-id","33","Fri Mar 29 17:18:53 2019","Wed Nov  6 12:47:02 2019","Fri Mar 29 17:18:53 2019","7565FAA72F191A043DA39E73C5639451A8800630DD43406A69CC6218E716C9CEBC01AFF233EAA21BE39BD82F8C9489E5B00ACC5944870C6F23D569DF8204C803","0","0","33060"
"rmt","/etc/rmt","268","Fri Jul 21 17:35:22 2017","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","9415A0D7EE7D41C272CAA51382F2529E0E835504A2E22AB425A0E561413288F4794EE18144038001AF2A1E990735C9E5962BE4C0CD5FCE1655E11CC62704EA54","0","0","33261"
"modules","/etc/modules","195","Fri Jan  5 23:35:28 2018","Wed Nov  6 12:47:02 2019","Fri Mar 29 16:35:19 2019","519C257611C346F4446C31DD2BF79523371356E0C076F246CBC456E3D8174C6190142A798F0059335888781C56BA96C343F60EF03D36A826F07E5E8473EC0362","0","0","33188"
"securetty","/etc/securetty","4141","Thu Jan 25 18:09:22 2018","Wed Nov  6 09:49:59 2019","Mon Apr  1 13:37:47 2019","DC86A9AB587C38B7E2CA53BC5D826004136EFAF334F50ED7FE01E2C63BA7AA79EBEF08126C3C942FE7F11C66B03E872DD6F0C4AE2476BBB7221626A98F3904BB","0","0","33188"
"locale.alias","/etc/locale.alias","2995","Mon Apr 16 23:14:20 2018","Wed Nov  6 12:47:02 2019","Mon Apr  1 13:55:01 2019","0CA4583FB5A6D89698234C01710AFD58B40F1DBAB8051E4BBCAF95C096C16EF99714F5846EAFCF64251271C599FC2CFC5FF5E46E71B4B7D0B034775348D2B699","0","0","33188"
"bash.bashrc","/etc/bash.bashrc","2319","Wed Apr  4 21:30:26 2018","Wed Nov  6 09:56:05 2019","Mon Apr  1 13:34:56 2019","747F3D9BA51C27852C4F2EB061EB7AAB71B1987AC44699F8F679110F4A1E0AB141392FD4FFEE35A515A921B29230E504CACD08DEEDB6480F6D348B88806CFF95","0","0","33188"
"protocols","/etc/protocols","2932","Mon Dec 26 04:56:39 2016","Wed Nov  6 10:29:22 2019","Fri Mar 29 16:32:49 2019","EADC83E47FCC354AB83FD109BEE452BDA170886FB684E67FAF615930C11480919505F4AF60C685B124EFC54AF0DED9522663132F911EAC6622144F8B4C8BE695","0","0","33188"
"debian_version","/etc/debian_version","11","Tue Aug  7 01:35:13 2018","Wed Nov  6 10:29:22 2019","Mon Apr  1 13:37:36 2019","75CFCFE34341CD160AE2194D97D01C75B83186D84668880394D3E189B82FEECFC3CF52ED03FC0491B219E422E9DB84B87E69A9E758526CA40C13391CDD8310A8","0","0","33188"
"papersize","/etc/papersize","3","Fri Mar 29 16:35:28 2019","Wed Nov  6 12:47:31 2019","Fri Mar 29 16:35:28 2019","1D1FB3596AB53C443609BBD4C5AC9E3DD0B29DA936A3A49200A154976B215B966A6FD761FF243715E0F9844BF724730A4A27C7C257388995E98B9F71C3F010D7","0","0","33204"
"drirc","/etc/drirc","14726","Sat Feb  9 01:02:44 2019","Wed Nov  6 12:48:01 2019","Mon Apr  1 14:03:05 2019","BC4C3A50D7A3CD737EDDA7E78DCF447971DA86A1AE93F04596A6AE63C85EFBE56B1F26EE94AB0E62921FB46348816805E36E4F58C2969728B567E3410034322B","0","0","33188"
"vdpau_wrapper.cfg","/etc/vdpau_wrapper.cfg","51","Fri Feb 19 16:12:45 2016","Wed Nov  6 10:29:22 2019","Fri Mar 29 22:10:16 2019","A18C4092F8549296AB339999D09DEFC78C577CBA7BA5AF0F2EE0128CD8B405EAC9DCB2C90641FBA654C6C3509B0AC0FF68E63397172684F5FD062786A850E63D","0","0","33188"
